,industry_code,industry_name
177,I177,Computers - Peripherals / Accessories
178,I178,Banks - Public Sector
179,I179,Computers - Hardware - Medium / Small
180,I180,Textiles - Composite/Cotton/Blended/Fabric - M/S
181,I181,Electronics - Power Devices / Equipment
182,I182,Food And Dairy Products - Indian - Large
183,I183,Leather Products - Others
184,I184,Aluminium - Extrusions
185,I185,Pesticides / Agrochemicals - Indian - Medium/Small
186,I186,Rubber - Products
187,I187,Solvent Extraction - Medium / Small
188,I188,Chemicals - Gelatine
189,I189,Auto Ancillaries - Electrical
190,I190,Auto Ancillaries - Instruments
191,I191,Auto Ancillaries - Trading
192,I192,Engineering - Light - General - Medium / Small
193,I193,Electronics - Others
194,I194,Plastics - Furniture
195,I195,Trading - Large
196,I196,Distilleries
197,I197,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S
198,I198,Steel - Seamless Tubes
199,I199,Telecommunications - Service Provider
200,I200,Metal - Zinc
201,I201,Banks - Private Sector
202,I202,Miscellaneous - Large
203,I203,Paper - Medium / Small
204,I204,Refractories / Intermediates
205,I205,Securities/Commodities Trading Services
206,I206,Metal - Copper / Copper Alloy Products
207,I207,Food - Processing - Spices / Pickles
208,I208,Granite & Marble - Large
209,I209,Watches & Accessories
210,I210,Rubber - Synthetic
211,I211,Computers - Education
212,I212,Electronics - TV / Audio / VCR / VCP
213,I213,Computers - Software - Converts
214,I214,Food - Processing - Others
215,I215,Packaging - Polysacks
216,I216,Bearings - Medium / Small
217,I217,Steel - Pig Iron
218,I218,Textiles - Composite/Cotton/Blended/Fabric - LARGE
219,I219,Leather Products - Integrated
220,I220,Textiles - Processing
221,I221,Entertainment - Electronic Media
222,I222,Vanaspati - Large
223,I223,Dyes - Reactive / Direct
224,I224,Finance - Term-Lending Institutions
225,I225,Food - Proccesing - Rice
226,I226,Textiles - Embroidery Fabric
227,I227,Cables - Power - Medium / Small
228,I228,Analytical Laboratory Equipment
229,I229,Packaging - Plastic Containers
230,I230,Food - Processing - Mushrooms
231,I231,Packaging - Lamination / Processors - Medium/Small
232,I232,Personal Care - Indian - Large
233,I233,Coke / Metalurgical Coke
234,I234,Textiles - Readymade Apparel
235,I235,Plastics - PU & PU leather
236,I236,Hotels - Resorts
237,I237,Diamond Cutting / Jewellery - Medium / Small
238,I238,Floriculture / Tissue Culture
239,I239,Food and Dairy Products - Indian - Medium / Small
240,I240,Plastics - Thermoware
241,I241,Couriers
242,I242,Pharmaceuticals - I V Fluids
243,I243,Domestic Appliances - Cookers / Others
244,I244,Leather Products - Garments
245,I245,Lighting Systems
246,I246,Glass - Containers / Others
247,I247,Laminates
248,I248,Pollution Control Equipment
249,I249,Contraceptives / Protectives
250,I250,Dyes And Pigments - Medium / Small
251,I251,LPG Bottling
252,I252,Transport - Airlines
253,I253,Tea - Processing And Trading
254,I254,Ferro Alloys
255,I255,Finance - Leasing And Diversified
256,I256,Textiles - Jute - Yarn / Products
257,I257,Plastics - Flooring
258,I258,Aluminium - Sheets / Coils / Wires / Others
259,I259,Gas Distribution
260,I260,Biotechnology
261,I261,Fertilizers - Phosphatic - Single Super Phosphate
262,I262,Medical Accessories / Disposables
263,I263,IT Enabled Services / Business Process Outsourcing
264,I264,Ship - Breaking / Repairing
265,I265,Castings - Steel / Alloy
266,I266,Food - Processing - Egg Powder
267,I267,Medical Equipment
268,I268,Personal Care - Indian - Medium / Small
269,I269,Chemicals - Inorganic - Large
270,I270,Forgings - Medium / Small
271,I271,Photographic And Allied Products
272,I272,Steel - Wires
273,I273,Fire - Protection Equipment
274,I274,Food - Processing - Atta / Rava / Sooji
275,I275,Dyes - Intermediate
276,I276,Chemicals - Pentaerythritol / Formaldehyde
277,I277,Rubber - Retreading
278,I278,Recreation / Amusement Parks
279,I279,Food - Processing - Fruit Processing
280,I280,Textiles - Worsted Fabric
