industry_code,industry_name
I198,Steel - Seamless Tubes
I199,Telecommunications - Service Provider
I200,Metal - Zinc
I201,Banks - Private Sector
I202,Miscellaneous - Large
I203,Paper - Medium / Small
I204,Refractories / Intermediates
I205,Securities/Commodities Trading Services
I206,Metal - Copper / Copper Alloy Products
I207,Food - Processing - Spices / Pickles
I208,Granite & Marble - Large
I209,Watches & Accessories
I210,Rubber - Synthetic
I211,Computers - Education
I212,Electronics - TV / Audio / VCR / VCP
I213,Computers - Software - Converts
I214,Food - Processing - Others
I215,Packaging - Polysacks
I216,Bearings - Medium / Small
I217,Steel - Pig Iron
I218,Textiles - Composite/Cotton/Blended/Fabric - LARGE
I219,Leather Products - Integrated
I220,Textiles - Processing
I221,Entertainment - Electronic Media
I222,Vanaspati - Large
I223,Dyes - Reactive / Direct
I224,Finance - Term-Lending Institutions
I225,Food - Proccesing - Rice
I226,Textiles - Embroidery Fabric
I227,Cables - Power - Medium / Small
I228,Analytical Laboratory Equipment
I229,Packaging - Plastic Containers
I230,Food - Processing - Mushrooms
I231,Packaging - Lamination / Processors - Medium/Small
I232,Personal Care - Indian - Large
I233,Coke / Metalurgical Coke
I234,Textiles - Readymade Apparel
I235,Plastics - PU & PU leather
I236,Hotels - Resorts
I237,Diamond Cutting / Jewellery - Medium / Small
I238,Floriculture / Tissue Culture
I239,Food and Dairy Products - Indian - Medium / Small
I240,Plastics - Thermoware
I241,Couriers
I242,Pharmaceuticals - I V Fluids
I243,Domestic Appliances - Cookers / Others
I244,Leather Products - Garments
I245,Lighting Systems
I246,Glass - Containers / Others
I247,Laminates
I248,Pollution Control Equipment
I249,Contraceptives / Protectives
I250,Dyes And Pigments - Medium / Small
I251,LPG Bottling
I252,Transport - Airlines
I253,Tea - Processing And Trading
I254,Ferro Alloys
I255,Finance - Leasing And Diversified
I256,Textiles - Jute - Yarn / Products
I257,Plastics - Flooring
I258,Aluminium - Sheets / Coils / Wires / Others
I259,Gas Distribution
I260,Biotechnology
I261,Fertilizers - Phosphatic - Single Super Phosphate
I262,Medical Accessories / Disposables
I263,IT Enabled Services / Business Process Outsourcing
I264,Ship - Breaking / Repairing
I265,Castings - Steel / Alloy
I266,Food - Processing - Egg Powder
I267,Medical Equipment
I268,Personal Care - Indian - Medium / Small
I269,Chemicals - Inorganic - Large
I270,Forgings - Medium / Small
I271,Photographic And Allied Products
I272,Steel - Wires
I273,Fire - Protection Equipment
I274,Food - Processing - Atta / Rava / Sooji
I275,Dyes - Intermediate
I276,Chemicals - Pentaerythritol / Formaldehyde
I277,Rubber - Retreading
I278,Recreation / Amusement Parks
I279,Food - Processing - Fruit Processing
I280,Textiles - Worsted Fabric
