,company,industry_code,industry_name,sector_code,sector_name
297,Mah. Seamless, 198,Steel - Seamless Tubes, 38,Steel
298,Kamper Concast, 87,Steel - Rolling, 38,Steel
299,Kalyani Steels, 87,Steel - Rolling, 38,Steel
300,Prakash Inds., 87,Steel - Rolling, 38,Steel
301,Mahamaya Steel, 87,Steel - Rolling, 38,Steel
302,Tata Metaliks, 217,Steel - Pig Iron, 38,Steel
303,Sathavaha. Ispat, 217,Steel - Pig Iron, 38,Steel
304,Uttam Value Ste., 97,Steel - Medium / Small, 38,Steel
305,Kamdhenu, 97,Steel - Medium / Small, 38,Steel
306,Super Forgings, 97,Steel - Medium / Small, 38,Steel
307,Gallantt Metal, 97,Steel - Medium / Small, 38,Steel
308,Electrosteel St., 97,Steel - Medium / Small, 38,Steel
309,Grand Foundry, 97,Steel - Medium / Small, 38,Steel
310,Adhunik Indus., 97,Steel - Medium / Small, 38,Steel
311,Vardhman Spl., 97,Steel - Medium / Small, 38,Steel
312,Lloyds Steels, 97,Steel - Medium / Small, 38,Steel
313,Sujana Metal Prd, 97,Steel - Medium / Small, 38,Steel
314,Pennar Inds., 97,Steel - Medium / Small, 38,Steel
315,Rama Steel Tubes, 97,Steel - Medium / Small, 38,Steel
316,Goodluck Steel, 97,Steel - Medium / Small, 38,Steel
317,Sunflag Iron, 97,Steel - Medium / Small, 38,Steel
318,Ramsarup Inds., 97,Steel - Medium / Small, 38,Steel
319,Pennar Engg.Bld., 97,Steel - Medium / Small, 38,Steel
320,Gandhi Spl. Tube, 97,Steel - Medium / Small, 38,Steel
321,Manaksia Coated, 97,Steel - Medium / Small, 38,Steel
322,Prakash Steelage, 97,Steel - Medium / Small, 38,Steel
323,Usha Martin, 97,Steel - Medium / Small, 38,Steel
324,Mukand, 97,Steel - Medium / Small, 38,Steel
325,Ratnamani Metals, 97,Steel - Medium / Small, 38,Steel
326,OCL Iron & Steel, 97,Steel - Medium / Small, 38,Steel
327,Varun Inds., 97,Steel - Medium / Small, 38,Steel
328,Manaksia Steels, 97,Steel - Medium / Small, 38,Steel
329,Surana Inds., 97,Steel - Medium / Small, 38,Steel
330,Shah Alloys, 97,Steel - Medium / Small, 38,Steel
331,Adhunik Metal, 97,Steel - Medium / Small, 38,Steel
332,ISMT, 97,Steel - Medium / Small, 38,Steel
333,Godawari Power, 97,Steel - Medium / Small, 38,Steel
334,Bil Energy Sys., 97,Steel - Medium / Small, 38,Steel
335,Bilpower, 97,Steel - Medium / Small, 38,Steel
336,Sarda Energy, 97,Steel - Medium / Small, 38,Steel
337,Zenith Birla, 97,Steel - Medium / Small, 38,Steel
338,Gyscoal Alloys, 97,Steel - Medium / Small, 38,Steel
339,Skipper, 97,Steel - Medium / Small, 38,Steel
340,Kridhan Infra, 97,Steel - Medium / Small, 38,Steel
341,Surya Roshni, 97,Steel - Medium / Small, 38,Steel
342,Natl. Steel&Agro, 97,Steel - Medium / Small, 38,Steel
343,Visa Steel, 97,Steel - Medium / Small, 38,Steel
344,Jindal Stain., 121,Steel - Large, 38,Steel
345,Uttam Galva, 121,Steel - Large, 38,Steel
346,Jindal Saw, 121,Steel - Large, 38,Steel
347,Tata Steel, 121,Steel - Large, 38,Steel
348,Jindal Stain .Hi, 121,Steel - Large, 38,Steel
349,Bhushan Steel, 121,Steel - Large, 38,Steel
350,JSW Steel, 121,Steel - Large, 38,Steel
351,S A I L, 121,Steel - Large, 38,Steel
352,AVT Natural Prod, 187,Solvent Extraction - Medium / Small, 49,Edible Oil
353,Girdhari.Sugar, 187,Solvent Extraction - Medium / Small, 49,Edible Oil
354,Raj Oil Mills, 187,Solvent Extraction - Medium / Small, 49,Edible Oil
355,Ruchi Infrastr., 187,Solvent Extraction - Medium / Small, 49,Edible Oil
356,Rasoya Proteins, 187,Solvent Extraction - Medium / Small, 49,Edible Oil
357,N K Inds., 187,Solvent Extraction - Medium / Small, 49,Edible Oil
358,Gokul Refoils, 136,Solvent Extraction - Large, 49,Edible Oil
359,Vimal Oil Foods, 136,Solvent Extraction - Large, 49,Edible Oil
360,Gokul Agro, 136,Solvent Extraction - Large, 49,Edible Oil
361,K S Oils, 136,Solvent Extraction - Large, 49,Edible Oil
362,Ruchi Soya Inds., 136,Solvent Extraction - Large, 49,Edible Oil
363,Murli Industries, 136,Solvent Extraction - Large, 49,Edible Oil
364,Guj. Ambuja Exp, 136,Solvent Extraction - Large, 49,Edible Oil
365,Agro Tech Foods., 136,Solvent Extraction - Large, 49,Edible Oil
366,GHCL, 156,Soda Ash, 12,Chemicals
367,SEAMEC Ltd, 132,Shipping - medium / small, 32,Shipping
368,Global Offshore, 132,Shipping - medium / small, 32,Shipping
369,Shreyas Shipping, 132,Shipping - medium / small, 32,Shipping
370,Essar Shipping, 67,Shipping - Large, 32,Shipping
371,Mercator, 67,Shipping - Large, 32,Shipping
372,S C I, 67,Shipping - Large, 32,Shipping
373,GOL Offshore, 67,Shipping - Large, 32,Shipping
374,GE Shipping Co, 67,Shipping - Large, 32,Shipping
375,Varun Ship. Co., 67,Shipping - Large, 32,Shipping
376,ABG Shipyard, 264,Ship - Breaking / Repairing, 68,Ship Building
377,Reliance Defence, 264,Ship - Breaking / Repairing, 68,Ship Building
378,Bharati Defence, 264,Ship - Breaking / Repairing, 68,Ship Building
379,Geojit BNP, 205,Securities/Commodities Trading Services, 63,Stock/ Commodity Brokers
380,IIFL Holdings, 205,Securities/Commodities Trading Services, 63,Stock/ Commodity Brokers
381,Indbank Merchant, 205,Securities/Commodities Trading Services, 63,Stock/ Commodity Brokers
382,Adit.Birla Money, 205,Securities/Commodities Trading Services, 63,Stock/ Commodity Brokers
383,Ausom Enter., 205,Securities/Commodities Trading Services, 13,Finance
384,Emk.Global Fin., 205,Securities/Commodities Trading Services, 63,Stock/ Commodity Brokers
